duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_icmp,proto_tcp,proto_udp,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR
0.003497,0,0,0.0,5.0,212.0,3.0,144.0,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.036724,34,311,0.0,1.0,62.0,1.0,339.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
384.518261,15072,0,0.0,48.0,16416.0,0.0,0.0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.270332,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.111429,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.114433,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.016984,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.003497,0,0,0.0,4.0,172.0,2.0,92.0,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.040227,34,311,0.0,1.0,62.0,1.0,339.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.270346,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.109684,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.114426,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.01698,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1633.04433,60288,0,0.0,192.0,65664.0,0.0,0.0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.003498,0,0,0.0,4.0,172.0,2.0,92.0,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.183145,34,311,0.0,1.0,62.0,1.0,339.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.272344,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.109436,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
766.04856,28260,0,0.0,90.0,30780.0,0.0,0.0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50.851218,3768,0,0.0,12.0,4104.0,0.0,0.0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.088446,1847,1539,0.0,7.0,2139.0,7.0,1823.0,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
